Section Number:  02,,,,,,
Team Number: 10,,,,,,
,,,,,,
Requirement,Point Value,Page #,"Pos. in page R/L,T/M/B",,,"Instructions: please make a copy of this sheet, naming it the same as your botlab report. Then proceed through the listed requirements and tell us which page the answer to that requirement appears in, and which position in that page that item is on: Right/Left column, Top/Middle/Bottom of column. Also record your section number for that requirement response. If you responded in an appendix, use A,B,C... for appendix numbers even if you gave a numerical section number to your appendix. Finally, submit the link to your sheet, with sharing set to view-only. Also save the file as requirements.csv and submit it with your report."
Content,,,,,,
Describe your wheel speed controllers. ,4,2,"L, M",,,
"Give a table of parameters (gains, filter parameters etc.) for the wheel speed controllers.",4,2,"L, M",,,
Generate a plot of wheel speed in response to a step input of 0.5 m/s to the left and right wheel controllers.,4,2,"R, T",,,
"Generate a plot of linear and rotational speed as the robot drives 1m, turns 180 degrees, then returns to the start position",4,2,"R, M",,,
Report the slowest and fastest speed the robot can travel using your wheel controllers.,4,3,"L, T",,,
Describe how you validated your odometry model and report the values of correction parameters.,4,3,"L, M",,,
Explicitly report the equations used to perform odometry and gyro fused odometry.,4,"2
3","R, B
L, T",,,
Report all parameters in your odometry and gyrodometry model and how they were determined.,4,3,"L, M",,,
Describe your robot frame velocity controller,4,3,"R, M",,,
"Generate a plot of robot position and heading (robot frame) vs time for the following step inputs: 0.25 m/s for 2 s, 0.5 m/s for 2 s, 1 m/s for 1 s or report on the performance of your bot from checkpoint 1",4,4,"L, T",,,
Describe and document your motion control algorithm for getting between waypoints.,4,3,"R, B",,,
Include a plot of your robot’s dead reckoning estimated pose as the robot is commanded to drive a 1m square 4 times.,4,4,"L, M",,,
Plot of your map from the log file obstacle_slam_10mx10m_5cm.log.,4,4,"R, T",,,
Describe the action model you used.  Include the equations you used,4,5,"L, MB
R, TM",,,
Include a table of the values of any uncertainty parameters.,4,5,"R, T",,,
Explain how you chose these values.,4,5,"R, TM",,,
"Report in a table the time it takes to update the particle filter for 100, 300, 500 and 1000 particles. ",4,7,"L,T",,,
Estimate the maximum number of particles your filter can support running at 10Hz on the RPi.,4,6,"L,M",,,
"Using your particle filter on the log drive_square_10mx10m_5cm.log, plot 300 particles at the midpoint of each 1m translation and at the corners after having turned 90°",4,6,"R,T",,,
Provide a separate plot showing how the pose error difference between the SLAM and Odometry poses evolves over time.                                                                                                                                                                                                                ,4,6,"R,T",,,
Create a block diagram of how the SLAM system components interact,4,6,"R,B",,,
Compare the estimated poses from your SLAM system against the ground-truth poses in obstacle_slam_10mx10m_5cm.log.  Use this to estimate the accuracy of your system and include statistics such as RMS error etc.,4,7,"L,T",,,
"Using astar_test_files, report statistics on your path planning execution times for each of the example problems in the data/astar folder -- you simply need to run astar_test_files after implementing your algorithm. If your algorithm is optimal and fast, great. If not please discuss possible reasons and strategies for improvement.",4,8,"L, T",,,
Explain the strategy used for finding frontiers and any other details about your implementation that you found important for making your algorithm work.,4,7,"R,B",,,
Explain the strategy used for localization in this instance and any other details about your implementation that you found important for making your algorithm work.,4,7,"R,B",,,
"Create a video of the botgui visualization of your kidnapped robot determining its location including the particles, current location estimate and the actual location from a log file of your choosing. Upload the video to YouTube or Google Drive and include a link to the video in your submission",Extra Credit (+5 pts),,,,,
,,,,,,
Style,,,,,,
"Introduction: Describe the Mbot, and provide some background for why a robot with the capabilities of an Mbot are important. Additionally, motivate why each of the components of a functional Mbot are important (e.g. motor control, SLAM)",10,,,,,
Methods: Provide sufficient detail so that an individual with no prior knowledge of your project could reasonably recreate your Mbot (given enough time),10,,,,,
"Results: Provide results that adequately describe the performance of your Mbot. Additionally, for any figure make sure that the figure is clean, the text is large enough to read if the page was printed out, and that all axes are labled with units.",15,,,,,
"Discussion & Conclusion: Discuss the performance of various components of your Mbot, as well as your performance in the competition. Include discussion of what features could be improved, or what features you would add if you had more time",15,,,,,
Total Points,150,,,,,
